ID	 sex	CentSize	SF	IF	SP	IP	T	O	LOS	PCS	CS	SyF	STS	POS	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
41	2	387.8320573	31.66833717	23.77907656	13.85270619	21.89807911	30.66309962	10.91182152	6.18767159	7.15399592	19.95740694	19.21179135	31.87127203	19.70829236	0.00868	-0.02574	-0.04492	0.01768	0.02602	0.01337	0.01557	-0.0136	-0.00713	-0.00881
42	2	388.3303173	29.57845427	23.49729087	16.21999949	24.3635636	31.5393404	11.97633498	6.61746383	7.432318446	19.98151512	18.3858213	29.97706848	19.44142227	-0.01313	0.00165	0.00986	0.00356	-0.00033	0.01388	0.01462	0.00403	0.01104	0.00851
43	2	396.3972121	30.53709894	24.93472588	16.73851152	21.02920082	30.55458667	8.054677596	6.358285551	5.496421524	20.04706171	18.38129404	30.61903228	16.9137955	-0.01103	-0.01062	-0.00985	-0.01585	0.00556	0.0041	-0.01584	-0.03064	-0.02425	0.01647
44	1	402.5834225	30.3232463	23.30406892	14.61386035	24.4183799	31.36720523	11.25759389	5.043246895	8.742504814	19.88200479	18.77218633	29.67965061	18.49420238	-0.05048	0.00849	-0.00231	0.00927	-0.00501	0.00372	0.01947	0.0105	0.01691	0.00017
45	2	397.4968632	32.12764873	22.83801506	14.93141668	23.64160164	31.00726191	9.84735304	7.584126586	8.254232996	20.62946439	15.90789783	30.43142621	18.94469645	-0.02263	0.00185	0.00374	0.01115	0.00809	0.01091	-0.02182	-0.0155	0.03529	0.02197
46	1	392.8716202	30.31224424	24.41415777	16.7281431	22.20647476	32.20902591	10.72664955	5.113316987	7.441901847	19.29328387	20.78316992	32.1542252	16.79361123	-0.00145	0.03324	-0.0078	0.00245	0.01291	0.0019	0.01094	0.0054	-0.00521	-0.00704
47	1	425.9069889	29.10170604	22.06751599	18.61979234	26.22810296	31.64750997	9.66553051	9.388921717	7.146867445	19.07306119	18.93165225	28.64237913	17.61755661	0.00304	0.01123	0.05804	-0.02675	-0.01246	-0.01825	0.01076	-0.02764	-0.02384	-0.00766
48	1	414.0757783	29.83322885	23.30666117	13.58890802	23.30045811	30.38482561	12.13534167	5.693988844	6.490720128	18.2095927	20.85425747	28.82988871	19.54581835	0.00331	0.0324	-0.04136	0.03519	0.00487	-0.03083	0.03406	0.01122	-0.00455	0.00882
49	2	390.7922922	29.3485567	23.51256225	17.24225904	23.71470502	31.49098041	9.051532708	8.335612563	6.840478864	18.79873096	20.32526096	32.04591109	16.9412963	0.06135	0.02351	0.02014	-0.00549	0.00022	-0.01565	-0.0011	-0.01912	-0.00122	0.00921
50	1	431.3863861	30.88724356	24.02349793	14.56952538	24.03269699	32.56739418	11.80016922	6.459525369	7.310530792	18.44925472	21.57854116	30.81930727	17.27095637	0.06373	0.03484	0.00936	-0.01959	-0.0023	0.00018	0.00125	0.01706	0.00343	-0.01968
51	1	407.7650803	29.87999148	21.9434421	15.9121317	24.70736136	31.86125325	10.5002286	6.645682318	7.391182425	20.10556753	20.45584101	29.42661782	17.90430271	-0.02093	0.03242	0.00695	-0.01019	-0.0087	-0.01292	0.00415	0.01123	-0.00376	-0.00635
52	2	390.4697486	31.75577445	23.90633929	14.35012046	21.42585524	30.97946982	11.35495569	7.98035801	8.642116277	20.33254105	21.52834685	30.25713924	18.38908708	-0.0298	0.00373	-0.01039	0.03112	0.0307	-0.0201	-0.01193	0.02431	0.02133	-0.02549
